graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms
1,Prim,5,4,180.0,14,0.0179
1,Kruskal,5,4,180.0,12,0.0227
2,Prim,10,30,176.0,60,0.0568
2,Kruskal,10,30,176.0,54,0.0801
3,Prim,15,83,179.0,131,0.32
3,Kruskal,15,83,179.0,121,0.3514
4,Prim,20,27,604.0,72,0.0981
4,Kruskal,20,27,604.0,71,0.0988
5,Prim,25,146,275.0,236,0.2345
5,Kruskal,25,146,275.0,209,0.29
6,Prim,30,209,163.0,325,0.2993
6,Kruskal,30,209,163.0,272,0.361
7,Prim,60,259,786.0,468,0.3137
7,Kruskal,60,259,786.0,409,0.3463
8,Prim,90,482,760.0,805,0.3607
8,Kruskal,90,482,760.0,773,0.5492
9,Prim,120,568,1598.0,976,0.2913
9,Kruskal,120,568,1598.0,1067,0.6508
10,Prim,150,1260,1282.0,1877,0.4661
10,Kruskal,150,1260,1282.0,1886,1.3241
11,Prim,180,434,4466.0,931,0.3078
11,Kruskal,180,434,4466.0,972,0.606
12,Prim,210,1661,1708.0,2461,0.6331
12,Kruskal,210,1661,1708.0,2503,1.85
13,Prim,240,1109,3246.0,1940,0.4191
13,Kruskal,240,1109,3246.0,1957,1.0466
14,Prim,270,737,5411.0,1549,0.3416
14,Kruskal,270,737,5411.0,1621,0.6738
15,Prim,300,6799,988.0,8253,1.4803
15,Kruskal,300,6799,988.0,8153,3.935
16,Prim,370,1628,4869.0,2886,0.575
16,Kruskal,370,1628,4869.0,2762,0.9895
17,Prim,440,1743,6947.0,3183,0.9929
17,Kruskal,440,1743,6947.0,3625,1.2538
18,Prim,510,3268,5376.0,5170,0.9826
18,Kruskal,510,3268,5376.0,5210,1.9757
19,Prim,580,1328,14502.0,2924,0.6141
19,Kruskal,580,1328,14502.0,3098,0.8837
20,Prim,650,4212,5812.0,6634,1.1879
20,Kruskal,650,4212,5812.0,6904,2.4615
21,Prim,720,9747,3488.0,12900,3.504
21,Kruskal,720,9747,3488.0,13042,6.0174
22,Prim,790,10179,3967.0,13695,1.4003
22,Kruskal,790,10179,3967.0,13413,5.1336
23,Prim,860,8740,5339.0,12384,1.2051
23,Kruskal,860,8740,5339.0,12607,3.601
24,Prim,930,1185,35888.0,3253,0.3572
24,Kruskal,930,1185,35888.0,3265,0.7213
25,Prim,1000,10684,5979.0,14886,2.1432
25,Kruskal,1000,10684,5979.0,14958,5.4988
26,Prim,1300,13431,7880.0,18858,1.9323
26,Kruskal,1300,13431,7880.0,18985,6.1968
27,Prim,1600,26332,6624.0,33752,4.2574
27,Kruskal,1600,26332,6624.0,33727,12.0011
28,Prim,2000,4678,49384.0,10292,1.7308
28,Kruskal,2000,4678,49384.0,11090,2.196
