graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms
1,Prim,4,4,56.0,13,0.8528
1,Kruskal,4,4,56.0,10,0.6691
2,Prim,5,7,231.0,17,0.0161
2,Kruskal,5,7,231.0,17,0.0244
3,Prim,10,39,110.0,71,0.0389
3,Kruskal,10,39,110.0,61,0.0892
4,Prim,15,92,120.0,150,0.114
4,Kruskal,15,92,120.0,125,0.2179
5,Prim,20,135,145.0,208,0.092
5,Kruskal,20,135,145.0,178,0.1794
6,Prim,25,233,160.0,335,0.1368
6,Kruskal,25,233,160.0,299,0.1931
7,Prim,30,328,105.0,448,0.166
7,Kruskal,30,328,105.0,409,0.2752
8,Prim,60,868,245.0,1117,0.2665
8,Kruskal,60,868,245.0,1062,0.8598
9,Prim,90,2250,301.0,2702,0.6155
9,Kruskal,90,2250,301.0,2584,2.2653
10,Prim,120,4132,243.0,4779,0.7781
10,Kruskal,120,4132,243.0,4474,2.561
11,Prim,150,4905,362.0,5685,0.7755
11,Kruskal,150,4905,362.0,5416,2.2475
12,Prim,180,7437,423.0,8465,1.1616
12,Kruskal,180,7437,423.0,8369,3.2084
13,Prim,210,13041,305.0,14270,2.339
13,Kruskal,210,13041,305.0,13890,5.9618
14,Prim,240,14686,370.0,16042,0.8911
14,Kruskal,240,14686,370.0,15706,5.4154
15,Prim,270,19534,388.0,21130,1.9784
15,Kruskal,270,19534,388.0,20512,7.6534
16,Prim,300,20906,416.0,22606,2.2461
16,Kruskal,300,20906,416.0,22025,7.3793
17,Prim,370,12314,846.0,14239,0.744
17,Kruskal,370,12314,846.0,13743,4.4585
18,Prim,440,13290,1090.0,15562,0.9996
18,Kruskal,440,13290,1090.0,15064,4.9081
19,Prim,510,26393,853.0,29277,1.9249
19,Kruskal,510,26393,853.0,28149,7.746
20,Prim,580,22551,1167.0,25662,1.6825
20,Kruskal,580,22551,1167.0,25467,6.3539
21,Prim,650,31022,1162.0,34601,2.4499
21,Kruskal,650,31022,1162.0,34631,9.8199
22,Prim,720,54606,977.0,58907,5.6687
22,Kruskal,720,54606,977.0,57809,18.1151
23,Prim,790,73528,946.0,78279,30.5652
23,Kruskal,790,73528,946.0,76686,18.1369
24,Prim,860,110275,924.0,115546,14.1629
24,Kruskal,860,110275,924.0,114163,32.637
25,Prim,930,86707,1155.0,92290,18.0649
25,Kruskal,930,86707,1155.0,91096,21.0834
26,Prim,1000,105071,1162.0,111043,9.3194
26,Kruskal,1000,105071,1162.0,110245,26.2424
27,Prim,1300,110840,1651.0,118619,9.9506
27,Kruskal,1300,110840,1651.0,116860,29.8881
28,Prim,1600,329474,1627.0,339406,49.5361
28,Kruskal,1600,329474,1627.0,337564,100.9815
29,Prim,2000,352593,2057.0,364866,48.4929
29,Kruskal,2000,352593,2057.0,361645,162.6454
